,2006-10-01 to 2007-09-29,2007-09-30 to 2008-09-27,2008-09-28 to 2009-09-26,2008-09-28 to 2008-12-27,2008-12-28 to 2009-03-28,2009-03-29 to 2009-06-27,2009-06-28 to 2009-09-26,2009-09-27 to 2009-12-26,2009-09-27 to 2010-09-25,2009-12-27 to 2010-03-27,2010-03-28 to 2010-06-26,2010-06-27 to 2010-09-25,2010-09-26 to 2010-12-25,2010-09-26 to 2011-09-24,2010-12-26 to 2011-03-26,2011-03-27 to 2011-06-25,2011-06-26 to 2011-09-24,2011-09-25 to 2011-12-31,2011-09-25 to 2012-09-29,2012-01-01 to 2012-03-31,2012-04-01 to 2012-06-30,2012-07-01 to 2012-09-29,2012-09-30 to 2012-12-29,2012-09-30 to 2013-09-28,2012-12-30 to 2013-03-30,2013-03-31 to 2013-06-29,2013-06-30 to 2013-09-28,2013-09-29 to 2013-12-28,2013-09-29 to 2014-09-27,2013-12-29 to 2014-03-29,2014-03-30 to 2014-06-28,2014-06-29 to 2014-09-27,2014-09-28 to 2014-12-27,2014-09-28 to 2015-09-26,2014-12-28 to 2015-03-28,2015-03-29 to 2015-06-27,2015-06-28 to 2015-09-26,2015-09-27 to 2015-12-26,2015-09-27 to 2016-09-24,2015-12-27 to 2016-03-26,2016-03-27 to 2016-06-25,2016-06-26 to 2016-09-24,2016-09-25 to 2016-12-31,2016-09-25 to 2017-09-30,2017-01-01 to 2017-04-01,2017-04-02 to 2017-07-01,2017-07-02 to 2017-09-30,2017-10-01 to 2017-12-30,2017-10-01 to 2018-09-29,2017-12-31 to 2018-03-31,2018-04-01 to 2018-06-30,2018-07-01 to 2018-09-29,2018-09-30 to 2018-12-29,2018-09-30 to 2019-09-28,2018-12-30 to 2019-03-30,2019-03-31 to 2019-06-29,2019-06-30 to 2019-09-28,2019-09-29 to 2019-12-28,2019-09-29 to 2020-09-26,2019-12-29 to 2020-03-28,2020-03-29 to 2020-06-27,2020-06-28 to 2020-09-26,2020-09-27 to 2021-09-25,2021-09-26 to 2022-09-24,2022-09-25 to 2023-09-30
PaymentsToAcquireProductiveAssets(in iso4217_USD),,,,,,,,,2005000000.0,,,,,4260000000.0,,,,,8295000000.0,,,,,8165000000.0,,,,,9571000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock(in iso4217_USD),,,,,,,,,912000000.0,,,,,831000000.0,,,,,665000000.0,,,,,530000000.0,,,,,730000000.0,,,,,543000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities(in iso4217_USD),,,,,,,,,24930000000.0,,,,,20437000000.0,,,,,13035000000.0,,,,,20317000000.0,,,,,18810000000.0,,,,,14538000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt(in iso4217_USD),,,,,,,,,21788000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensation(in iso4217_USD),,,,,,,,,879000000.0,,,,,1168000000.0,,,,,1740000000.0,,,,,2253000000.0,,,,,2863000000.0,,,,,3586000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationCashUsedToPayTaxesForEquityNetShareSettlement(in iso4217_USD),,,,,,,,,,,,,,520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireAvailableForSaleSecurities(in iso4217_USD),,,,,,,,,,,,,,102317000000.0,,,,,151232000000.0,,,,,148489000000.0,,,,,217128000000.0,,,,,166402000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecurities(in iso4217_USD),,,,,,,,,,,,,,49416000000.0,,,,,99770000000.0,,,,,104130000000.0,,,,,189301000000.0,,,,,107447000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOfDividendsAndDividendEquivalentsOnCommonStockAndRestrictedStockUnits(in iso4217_USD),,,,,,,,,,,,,,,,,,,2488000000.0,,,,,10564000000.0,,,,,11126000000.0,,,,,11561000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation(in iso4217_USD),,,,,,,,,,,,,,,,,,,1226000000.0,,,,,1082000000.0,,,,,1158000000.0,,,,,1499000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
